Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,Utilities,HouseStyle,YearBuilt,BedroomAbvGr,KitchenAbvGr,SalePrice
340,RL,66,12400,Pave,NA,IR1,AllPub,1Story,1958,3,1,155000
341,RL,85,14191,Pave,NA,Reg,AllPub,2Story,2002,4,1,202900
342,RH,60,8400,Pave,NA,Reg,AllPub,1Story,1950,2,1,82000
343,RL,NA,8544,Pave,NA,Reg,AllPub,1Story,1949,2,2,87500
344,RL,63,8849,Pave,NA,IR1,AllPub,1Story,2005,2,1,266000
345,RM,36,2592,Pave,NA,Reg,AllPub,2Story,1976,3,1,85000
346,RL,65,6435,Pave,NA,Reg,AllPub,1.5Fin,1939,3,1,140200
347,RL,NA,12772,Pave,NA,IR1,AllPub,1Story,1960,2,1,151500
348,RL,NA,17600,Pave,NA,IR1,AllPub,1Story,1960,3,1,157500
349,RL,36,2448,Pave,NA,Reg,AllPub,2Story,2003,2,1,154000
350,RL,56,20431,Pave,NA,IR2,AllPub,2Story,2005,4,1,437154
351,RL,68,7820,Pave,NA,IR1,AllPub,1Story,2007,2,1,318061
352,RL,NA,5271,Pave,NA,IR1,AllPub,1Story,1986,2,1,190000
353,RL,60,9084,Pave,NA,Reg,AllPub,1.5Fin,1941,3,1,95000
354,RM,60,8520,Pave,NA,Reg,AllPub,1Story,1928,2,1,105900
355,RL,60,8400,Pave,NA,Reg,AllPub,1.5Fin,1940,2,1,140000
356,RL,105,11249,Pave,NA,IR2,AllPub,1Story,1995,3,1,177500
357,RL,NA,9248,Pave,NA,IR1,AllPub,1Story,1992,3,1,173000
358,RM,44,4224,Pave,NA,Reg,AllPub,1Story,1976,3,1,134000
359,RL,92,6930,Pave,NA,IR1,AllPub,SLvl,1958,3,1,130000
360,RL,78,12011,Pave,NA,IR1,AllPub,2Story,1998,3,1,280000
361,RL,NA,7540,Pave,NA,IR1,AllPub,SFoyer,1978,2,1,156000
362,RL,NA,9144,Pave,Pave,Reg,AllPub,1.5Fin,1940,3,1,145000
363,RL,64,7301,Pave,NA,Reg,AllPub,SFoyer,2003,4,1,198500
364,RM,21,1680,Pave,NA,Reg,AllPub,2Story,1972,2,1,118000
365,RL,NA,18800,Pave,NA,IR1,AllPub,2Story,1976,3,1,190000
366,RM,59,10690,Pave,NA,Reg,AllPub,2Story,1920,3,1,147000
367,RL,NA,9500,Pave,NA,IR1,AllPub,1Story,1963,3,1,159000
368,RL,101,9150,Pave,NA,IR1,AllPub,SLvl,1962,3,1,165000
369,RL,78,7800,Pave,NA,Reg,AllPub,1Story,1954,2,1,132000
370,RL,NA,9830,Pave,NA,IR1,AllPub,1Story,1959,3,1,162000
371,RL,NA,8121,Pave,NA,IR1,AllPub,2Story,2000,3,1,172400
372,RL,80,17120,Pave,NA,Reg,AllPub,1.5Fin,1959,4,1,134432
373,RL,50,7175,Pave,NA,Reg,AllPub,1Story,1984,2,1,125000
374,RL,79,10634,Pave,NA,Reg,AllPub,1Story,1953,3,1,123000
375,RL,65,8200,Pave,NA,Reg,AllPub,2Story,2003,4,1,219500
376,RL,NA,10020,Pave,NA,IR1,AllPub,1Story,1922,1,1,61000
377,RL,57,8846,Pave,NA,IR1,AllPub,SFoyer,1996,2,1,148000
378,FV,102,11143,Pave,NA,IR1,AllPub,2Story,2004,4,1,340000
379,RL,88,11394,Pave,NA,Reg,AllPub,1Story,2010,1,1,394432
380,RL,60,8123,Pave,NA,IR1,AllPub,2Story,2000,3,1,179000
381,RL,50,5000,Pave,Pave,Reg,AllPub,1.5Fin,1924,3,1,127000
382,FV,60,7200,Pave,Pave,Reg,AllPub,1Story,2006,2,1,187750
383,RL,79,9245,Pave,NA,IR1,AllPub,2Story,2006,3,1,213500
384,RH,60,9000,Pave,NA,Reg,AllPub,1.5Unf,1928,2,1,76000
385,RL,NA,53107,Pave,NA,IR2,AllPub,2Story,1992,3,1,240000
386,RL,43,3182,Pave,NA,Reg,AllPub,1Story,2004,2,1,192000
387,RL,58,8410,Pave,NA,Reg,AllPub,1.5Fin,1910,5,1,81000
388,RL,72,7200,Pave,NA,Reg,AllPub,SLvl,1976,3,1,125000
389,RL,93,9382,Pave,NA,IR1,AllPub,1Story,1999,3,1,191000
390,RL,96,12474,Pave,NA,Reg,AllPub,2Story,2007,3,1,426000
391,RL,50,8405,Pave,Grvl,Reg,AllPub,1.5Fin,1900,4,1,119000
392,RL,71,12209,Pave,NA,IR1,AllPub,2Story,2001,3,1,215000
393,RL,NA,8339,Pave,NA,IR1,AllPub,1Story,1959,3,1,106500
394,RL,NA,7446,Pave,NA,Reg,AllPub,1Story,1941,2,1,100000
395,RL,60,10134,Pave,NA,Reg,AllPub,1.5Fin,1940,2,1,109000
396,RL,68,9571,Pave,NA,Reg,AllPub,1Story,1956,3,1,129000
397,RL,60,7200,Pave,NA,Reg,AllPub,1Story,1972,2,1,123000
398,RL,69,7590,Pave,NA,Reg,AllPub,2Story,1962,4,1,169500
399,RM,60,8967,Pave,NA,Reg,AllPub,1Story,1920,2,1,67000
400,FV,65,8125,Pave,NA,Reg,AllPub,2Story,2006,2,1,241000
401,RL,38,14963,Pave,NA,IR2,AllPub,1Story,1996,1,1,245500
402,RL,65,8767,Pave,NA,IR1,AllPub,1Story,2005,3,1,164990
403,RL,60,10200,Pave,NA,Reg,AllPub,1Story,1940,2,1,108000
404,RL,93,12090,Pave,NA,Reg,AllPub,2Story,1998,4,1,258000
405,RL,NA,10364,Pave,NA,IR1,AllPub,2Story,1995,3,1,168000
406,RL,NA,9991,Pave,NA,IR1,AllPub,1Story,1976,3,1,150000
407,RL,51,10480,Pave,NA,Reg,AllPub,1.5Fin,1936,3,1,115000
408,RL,63,15576,Pave,NA,Reg,AllPub,2Story,1915,4,1,177000
409,RL,109,14154,Pave,NA,Reg,AllPub,2Story,2006,3,1,280000
410,FV,85,10800,Pave,NA,Reg,AllPub,2Story,2007,3,1,339750
411,RL,68,9571,Pave,NA,Reg,AllPub,1Story,1958,3,1,60000
412,RL,100,34650,Pave,NA,Reg,AllPub,1Story,1955,3,1,145000
413,FV,NA,4403,Pave,NA,IR2,AllPub,1Story,2009,2,1,222000
414,RM,56,8960,Pave,Grvl,Reg,AllPub,1Story,1927,2,1,115000
415,RL,59,11228,Pave,NA,IR2,AllPub,2Story,1993,3,1,228000
416,RL,73,8899,Pave,NA,IR1,AllPub,1Story,2007,3,1,181134
417,RL,74,7844,Pave,NA,Reg,AllPub,2Story,1978,3,1,149500
418,RL,86,22420,Pave,NA,IR1,AllPub,2Story,1918,4,1,239000
419,RL,60,8160,Pave,NA,Reg,AllPub,1.5Fin,1940,3,1,126000
420,RL,65,8450,Pave,NA,Reg,AllPub,1Story,1968,3,1,142000
421,RM,78,7060,Pave,NA,Reg,AllPub,SFoyer,1997,2,2,206300
422,RL,NA,16635,Pave,NA,IR1,AllPub,1Story,1977,3,1,215000
423,RL,100,21750,Pave,NA,Reg,AllPub,1Story,1954,2,1,113000
424,RL,80,9200,Pave,NA,Reg,AllPub,2Story,1998,4,1,315000
425,RL,72,9000,Pave,NA,Reg,AllPub,1Story,1956,2,1,139000
426,RM,60,3378,Pave,Grvl,Reg,AllPub,2Story,1946,3,1,135000
427,RL,NA,12800,Pave,NA,Reg,AllPub,SLvl,1989,2,1,275000
428,RL,77,8593,Pave,NA,IR1,AllPub,1Story,1957,3,1,109008
429,RL,64,6762,Pave,NA,Reg,AllPub,1Story,2007,2,1,195400
430,RL,130,11457,Pave,NA,IR1,AllPub,1Story,1988,3,1,175000
431,RM,21,1680,Pave,NA,Reg,AllPub,2Story,1971,2,1,85400
432,RM,60,5586,Pave,NA,IR1,AllPub,1.5Fin,1920,4,1,79900
433,RM,24,1920,Pave,NA,Reg,AllPub,2Story,1971,2,1,122500
434,RL,100,10839,Pave,NA,IR1,AllPub,2Story,1997,3,1,181000
435,RM,21,1890,Pave,NA,Reg,AllPub,SFoyer,1972,1,1,81000
436,RL,43,10667,Pave,NA,IR2,AllPub,2Story,1996,3,1,212000
437,RM,40,4400,Pave,NA,Reg,AllPub,1.5Fin,1920,2,1,116000
438,RM,50,6000,Pave,NA,Reg,AllPub,1.5Unf,1926,2,1,119000
439,RL,40,4280,Pave,NA,Reg,AllPub,1Story,1913,2,1,90350
440,RL,67,12354,Pave,Grvl,Reg,AllPub,1.5Fin,1920,3,1,110000
441,RL,105,15431,Pave,NA,Reg,AllPub,1Story,2008,2,1,555000
442,RL,92,12108,Pave,NA,Reg,AllPub,1Story,1955,4,2,118000
443,RM,52,6240,Pave,NA,Reg,AllPub,1.5Fin,1930,3,1,162900
444,RL,53,3922,Pave,NA,Reg,AllPub,1Story,2006,2,1,172500
445,RL,70,8750,Pave,NA,Reg,AllPub,2Story,1994,4,1,210000
446,RL,73,9855,Pave,NA,Reg,AllPub,1Story,1956,3,1,127500
447,RL,137,16492,Pave,NA,IR1,AllPub,1Story,1966,2,1,190000
448,RL,NA,11214,Pave,NA,IR1,AllPub,2Story,1998,4,1,199900
449,RM,50,8600,Pave,NA,Reg,AllPub,1.5Fin,1937,3,1,119500
450,RM,50,6000,Pave,NA,Reg,AllPub,1.5Fin,1948,2,1,120000
451,RM,70,5684,Pave,NA,Reg,AllPub,1Story,1930,2,1,110000
452,RL,62,70761,Pave,NA,IR1,AllPub,1Story,1975,2,1,280000
453,RL,NA,9303,Pave,NA,IR1,AllPub,2Story,1996,3,1,204000
454,FV,75,9000,Pave,NA,Reg,AllPub,2Story,2008,3,1,210000
455,RL,63,9297,Pave,NA,Reg,AllPub,1Story,1976,4,2,188000
456,RL,80,9600,Pave,NA,Reg,AllPub,1Story,1973,3,1,175500
457,RM,34,4571,Pave,Grvl,Reg,AllPub,2Story,1916,4,1,98000
458,RL,NA,53227,Pave,NA,IR1,AllPub,1Story,1954,2,1,256000
459,RM,NA,5100,Pave,Grvl,Reg,AllPub,2Story,1925,3,1,161000
460,RL,NA,7015,Pave,NA,IR1,AllPub,1.5Fin,1950,3,1,110000
461,FV,75,8004,Pave,NA,IR1,AllPub,2Story,2009,3,1,263435
462,RL,60,7200,Pave,NA,Reg,AllPub,2Story,1936,3,1,155000
463,RL,60,8281,Pave,NA,IR1,AllPub,1Story,1965,3,1,62383
464,RL,74,11988,Pave,NA,IR1,AllPub,2Story,1934,3,1,188700
465,RL,60,8430,Pave,NA,Reg,AllPub,1Story,1978,3,1,124000
466,RM,NA,3072,Pave,NA,Reg,AllPub,1Story,2004,2,1,178740
467,RL,85,10628,Pave,NA,Reg,AllPub,1Story,1970,2,1,167000
468,RL,79,9480,Pave,NA,Reg,AllPub,2Story,1942,3,1,146500
469,RL,98,11428,Pave,NA,IR1,AllPub,1Story,2006,3,1,250000
470,RL,76,9291,Pave,NA,IR1,AllPub,2Story,1993,3,1,187000
471,RL,NA,6820,Pave,NA,IR1,AllPub,1Story,1985,1,1,212000
472,RL,92,11952,Pave,NA,Reg,AllPub,2Story,1977,3,1,190000
473,RM,35,3675,Pave,NA,Reg,AllPub,SLvl,2005,2,1,148000
474,RL,110,14977,Pave,NA,IR1,AllPub,1Story,2006,2,1,440000
475,RL,41,5330,Pave,NA,Reg,AllPub,1Story,2000,2,1,251000
476,RL,80,8480,Pave,NA,Reg,AllPub,1Story,1963,2,1,132500
477,RL,75,13125,Pave,NA,Reg,AllPub,1Story,1997,3,1,208900
478,RL,105,13693,Pave,NA,Reg,AllPub,2Story,2006,3,1,380000
479,RL,79,10637,Pave,NA,Reg,AllPub,1Story,2007,3,1,297000
480,RM,50,5925,Pave,NA,Reg,AllPub,1Story,1937,2,1,89471
481,RL,98,16033,Pave,NA,IR1,AllPub,1Story,2004,3,1,326000
482,RL,72,11846,Pave,NA,IR1,AllPub,1Story,2003,2,1,374000
483,RM,50,2500,Pave,Pave,Reg,AllPub,2Story,1915,4,1,155000
484,RM,32,4500,Pave,NA,Reg,AllPub,1Story,1998,2,1,164000
485,RL,NA,7758,Pave,NA,IR1,AllPub,1Story,1962,3,1,132500
486,RL,80,9600,Pave,NA,Reg,AllPub,1Story,1950,3,1,147000
487,RL,79,10289,Pave,NA,Reg,AllPub,1Story,1965,3,1,156000
488,RL,70,12243,Pave,NA,IR1,AllPub,1Story,1971,3,1,175000
489,RL,60,10800,Pave,NA,Reg,AllPub,1.5Fin,1900,3,2,160000
490,RM,21,1526,Pave,NA,Reg,AllPub,SFoyer,1970,1,1,86000
491,RM,NA,2665,Pave,NA,Reg,AllPub,2Story,1976,3,1,115000
492,RL,79,9490,Pave,NA,Reg,AllPub,1.5Fin,1941,3,1,133000
493,RL,105,15578,Pave,NA,IR1,AllPub,2Story,2006,3,1,172785
494,RL,70,7931,Pave,NA,Reg,AllPub,1Story,1960,3,1,155000
495,RM,50,5784,Pave,NA,Reg,AllPub,1Story,1938,2,1,91300
496,C (all),60,7879,Pave,NA,Reg,AllPub,1Story,1920,2,1,34900
497,RL,NA,12692,Pave,NA,IR1,AllPub,1Story,1992,4,1,430000
498,RL,60,9120,Pave,Pave,Reg,AllPub,1.5Fin,1925,4,1,184000
499,RL,65,7800,Pave,NA,Reg,AllPub,1Story,1967,3,1,130000
500,RL,70,7535,Pave,NA,IR1,AllPub,1Story,1958,2,1,120000
501,RM,21,1890,Pave,NA,Reg,AllPub,2Story,1973,3,1,113000
502,FV,75,9803,Pave,NA,Reg,AllPub,2Story,2005,3,1,226700
503,RL,70,9170,Pave,NA,Reg,AllPub,1Story,1965,2,1,140000
504,RL,100,15602,Pave,NA,IR1,AllPub,1Story,1959,1,1,289000
505,RL,24,2308,Pave,NA,Reg,AllPub,2Story,1974,3,1,147000
506,RM,60,7596,Pave,Grvl,Reg,AllPub,2Story,1952,4,2,124500
507,RL,80,9554,Pave,NA,IR1,AllPub,2Story,1993,3,1,215000
508,FV,75,7862,Pave,NA,IR1,AllPub,1Story,2009,2,1,208300
509,RM,60,9600,Pave,NA,Reg,AllPub,2Story,1928,3,1,161000
510,RL,80,9600,Pave,NA,Reg,AllPub,1Story,1959,3,1,124500
511,RL,75,14559,Pave,NA,Reg,AllPub,1Story,1951,2,1,164900
512,RL,40,6792,Pave,NA,IR1,AllPub,1Story,2005,2,1,202665
513,RL,70,9100,Pave,NA,Reg,AllPub,1Story,1958,3,1,129900
514,RL,71,9187,Pave,NA,Reg,AllPub,1Story,1983,3,1,134000
515,RL,55,10594,Pave,NA,Reg,AllPub,1.5Unf,1926,2,1,96500
516,RL,94,12220,Pave,NA,Reg,AllPub,1Story,2009,3,1,402861
517,RL,NA,10448,Pave,NA,IR1,AllPub,SLvl,1972,3,1,158000
518,RL,79,10208,Pave,NA,IR1,AllPub,2Story,1996,3,1,265000
519,RL,NA,9531,Pave,NA,IR1,AllPub,2Story,1998,3,1,211000
520,RL,53,10918,Pave,NA,Reg,AllPub,2Story,1926,3,1,234000
521,RL,60,10800,Pave,Grvl,Reg,AllPub,2Story,1900,3,2,106250
522,RL,90,11988,Pave,NA,IR1,AllPub,1Story,1957,3,1,150000
523,RM,50,5000,Pave,NA,Reg,AllPub,1.5Fin,1947,3,1,159000
524,RL,130,40094,Pave,NA,IR1,AllPub,2Story,2007,3,1,184750
525,RL,95,11787,Pave,NA,IR1,AllPub,2Story,1996,3,1,315750
526,FV,62,7500,Pave,Pave,Reg,AllPub,1Story,2005,3,1,176000
527,RL,70,13300,Pave,NA,Reg,AllPub,1Story,1956,2,1,132000
528,RL,67,14948,Pave,NA,IR1,AllPub,2Story,2008,3,1,446261
529,RL,58,9098,Pave,NA,IR1,AllPub,1Story,1920,2,1,86000
530,RL,NA,32668,Pave,NA,IR1,AllPub,1Story,1957,4,2,200624
531,RL,85,10200,Pave,NA,Reg,AllPub,SLvl,1988,3,1,175000
532,RM,60,6155,Pave,NA,IR1,AllPub,2Story,1920,3,1,128000
533,RL,60,7200,Pave,NA,Reg,AllPub,1Story,1955,2,1,107500
534,RL,50,5000,Pave,NA,Reg,AllPub,1Story,1946,1,1,39300
535,RL,74,9056,Pave,NA,IR1,AllPub,2Story,2004,3,1,178000
536,RL,70,7000,Pave,NA,Reg,AllPub,2Story,1910,3,1,107500
537,RL,57,8924,Pave,NA,IR1,AllPub,2Story,1998,3,1,188000
538,RL,NA,12735,Pave,NA,IR1,AllPub,1Story,1972,3,1,111250
539,RL,NA,11553,Pave,NA,IR1,AllPub,1Story,1968,3,1,158000
540,RL,NA,11423,Pave,NA,Reg,AllPub,1Story,2001,3,1,272000
541,RL,85,14601,Pave,NA,Reg,AllPub,1Story,2006,2,1,315000
542,RL,NA,11000,Pave,NA,Reg,AllPub,2Story,2000,4,1,248000
543,RL,78,10140,Pave,NA,Reg,AllPub,1Story,1998,3,1,213250
544,RH,34,4058,Pave,NA,Reg,AllPub,SFoyer,1998,1,1,133000
545,RL,58,17104,Pave,NA,IR1,AllPub,2Story,2006,3,1,179665
546,RL,NA,13837,Pave,NA,IR1,AllPub,1.5Fin,1988,4,1,229000
547,RL,70,8737,Pave,NA,IR1,AllPub,1.5Fin,1923,3,1,210000
548,RL,54,7244,Pave,NA,Reg,AllPub,SFoyer,1970,2,1,129500
549,RM,49,8235,Pave,NA,IR1,AllPub,1Story,1955,2,1,125000
550,FV,75,9375,Pave,NA,Reg,AllPub,2Story,2003,4,1,263000
551,RL,53,4043,Pave,NA,Reg,AllPub,1Story,1977,2,1,140000
552,RM,50,6000,Pave,NA,Reg,AllPub,1Story,1957,3,1,112500
553,RL,87,11146,Pave,NA,IR1,AllPub,1Story,2006,3,1,255500
554,RL,67,8777,Pave,NA,Reg,AllPub,1Story,1949,2,1,108000
555,RL,85,10625,Pave,NA,Reg,AllPub,2Story,2003,3,1,284000
556,RM,58,6380,Pave,NA,Reg,AllPub,1.5Unf,1922,2,1,113000
557,RL,69,14850,Pave,NA,IR1,AllPub,1Story,1957,2,1,141000
558,C (all),60,11040,Pave,NA,Reg,AllPub,1.5Fin,1920,3,1,108000
559,RL,57,21872,Pave,NA,IR2,AllPub,2Story,1996,3,1,175000
560,RL,NA,3196,Pave,NA,Reg,AllPub,1Story,2003,2,1,234000
561,RL,NA,11341,Pave,NA,IR1,AllPub,1Story,1957,3,1,121500
562,RL,77,10010,Pave,NA,Reg,AllPub,1Story,1974,2,1,170000
563,RL,63,13907,Pave,NA,Reg,AllPub,1Story,1940,3,1,108000
564,RL,66,21780,Pave,NA,Reg,AllPub,1.5Fin,1918,4,1,185000
565,RL,NA,13346,Pave,NA,IR1,AllPub,2Story,1992,4,1,268000
566,RL,66,6858,Pave,NA,Reg,AllPub,2Story,1915,4,1,128000
567,RL,77,11198,Pave,NA,IR1,AllPub,2Story,2005,4,1,325000
568,RL,70,10171,Pave,NA,IR1,AllPub,1Story,2004,3,1,214000
569,RL,79,12327,Pave,NA,IR1,AllPub,1.5Fin,1983,1,1,316600
570,RL,NA,7032,Pave,NA,IR1,AllPub,SFoyer,1979,2,1,135960
571,RL,74,13101,Pave,NA,IR1,AllPub,1Story,1965,6,2,142600
572,RL,60,7332,Pave,NA,Reg,AllPub,1Story,1959,2,1,120000
573,RL,83,13159,Pave,NA,IR1,AllPub,2Story,2009,3,1,224500
574,RL,76,9967,Pave,NA,IR1,AllPub,SLvl,2000,3,1,170000
575,RL,70,10500,Pave,NA,Reg,AllPub,SLvl,1971,3,1,139000
576,RL,80,8480,Pave,NA,Reg,AllPub,1.5Fin,1947,2,1,118500
577,RL,52,6292,Pave,NA,Reg,AllPub,1.5Fin,1928,3,1,145000
578,RL,96,11777,Pave,NA,IR1,AllPub,SLvl,1966,3,1,164500
579,FV,34,3604,Pave,Pave,Reg,AllPub,2Story,2007,2,1,146000
580,RM,81,12150,Pave,Grvl,Reg,AllPub,1.5Fin,1954,4,1,131500
581,RL,NA,14585,Pave,NA,IR1,AllPub,1Story,1960,3,1,181900
582,RL,98,12704,Pave,NA,Reg,AllPub,1Story,2008,3,1,253293
583,RL,81,11841,Grvl,NA,Reg,AllPub,SFoyer,1990,3,1,118500
584,RM,75,13500,Pave,NA,Reg,AllPub,2.5Unf,1893,3,1,325000
585,RM,51,6120,Pave,NA,Reg,AllPub,1.5Fin,1935,3,1,133000
586,RL,88,11443,Pave,NA,Reg,AllPub,1Story,2005,2,1,369900
587,RL,55,10267,Pave,NA,Reg,AllPub,1Story,1918,2,1,130000
588,RL,74,8740,Pave,NA,IR1,AllPub,SFoyer,1982,2,1,137000
589,RL,65,25095,Pave,NA,IR1,AllPub,1Story,1968,1,1,143000
590,RM,50,9100,Pave,NA,Reg,AllPub,1Story,1930,2,1,79500
591,RL,64,8320,Pave,NA,Reg,AllPub,2Story,2004,3,1,185900
592,RL,97,13478,Pave,NA,IR1,AllPub,2Story,2008,3,1,451950
593,RL,60,6600,Pave,NA,Reg,AllPub,1Story,1982,2,1,138000
594,RM,NA,4435,Pave,NA,Reg,AllPub,1Story,2003,1,1,140000
595,RL,88,7990,Pave,NA,IR1,AllPub,1Story,1975,3,1,110000
596,RL,69,11302,Pave,NA,IR1,AllPub,1Story,2005,3,1,319000
597,RM,60,3600,Pave,Grvl,Reg,AllPub,2Story,1910,3,1,114504
598,RL,53,3922,Pave,NA,Reg,AllPub,1Story,2006,2,1,194201
599,RL,80,12984,Pave,NA,Reg,AllPub,1Story,1977,3,1,217500
600,RM,24,1950,Pave,NA,Reg,AllPub,2Story,1980,3,1,151000
601,RL,74,10927,Pave,NA,Reg,AllPub,2Story,2005,3,1,275000
602,RM,50,9000,Pave,NA,Reg,AllPub,1.5Fin,1937,3,1,141000
603,RL,80,10041,Pave,NA,IR1,AllPub,2Story,1992,3,1,220000
604,FV,30,3182,Pave,Pave,Reg,AllPub,2Story,2004,2,1,151000
605,RL,88,12803,Pave,NA,IR1,AllPub,1Story,2002,3,1,221000
606,RL,85,13600,Pave,NA,Reg,AllPub,2Story,1965,3,1,205000
607,RL,82,12464,Pave,NA,IR2,AllPub,1Story,1996,3,1,152000
608,RL,78,7800,Pave,NA,Reg,AllPub,2Story,1948,3,1,225000
609,RL,78,12168,Pave,NA,Reg,AllPub,2Story,1934,4,1,359100
610,RL,61,7943,Pave,NA,Reg,AllPub,1Story,1961,3,1,118500
611,RL,NA,11050,Pave,NA,Reg,AllPub,2Story,2000,3,1,313000
612,RL,NA,10395,Pave,NA,IR1,AllPub,SLvl,1978,3,1,148000
613,RL,NA,11885,Pave,NA,Reg,AllPub,2Story,2001,3,1,261500
614,RL,70,8402,Pave,NA,Reg,AllPub,1Story,2007,3,1,147000
615,RM,21,1491,Pave,NA,Reg,AllPub,SFoyer,1972,1,1,75500
616,RL,80,8800,Pave,NA,Reg,AllPub,SFoyer,1963,3,1,137500
617,RL,NA,7861,Pave,NA,IR1,AllPub,2Story,2002,3,1,183200
618,RL,59,7227,Pave,NA,Reg,AllPub,1.5Unf,1954,2,1,105500
619,RL,90,11694,Pave,NA,Reg,AllPub,1Story,2007,3,1,314813
620,RL,85,12244,Pave,NA,Reg,AllPub,2Story,2003,4,1,305000
621,RL,45,8248,Pave,Grvl,Reg,AllPub,1Story,1914,2,1,67000
622,RL,90,10800,Pave,NA,Reg,AllPub,2Story,1974,4,1,240000
623,RL,71,7064,Pave,NA,Reg,AllPub,1Story,1977,3,1,135000
624,FV,NA,2117,Pave,NA,Reg,AllPub,2Story,2000,2,1,168500
625,RL,80,10400,Pave,NA,Reg,AllPub,2Story,1972,4,1,165150
626,RL,87,10000,Pave,NA,IR1,AllPub,1Story,1962,3,1,160000
627,RL,NA,12342,Pave,NA,IR1,AllPub,1Story,1960,3,1,139900
628,RL,80,9600,Pave,NA,Reg,AllPub,SLvl,1955,3,1,153000
629,RL,70,11606,Pave,NA,IR1,AllPub,2Story,1969,5,1,135000
630,RL,82,9020,Pave,NA,Reg,AllPub,SLvl,1964,3,1,168500
631,RM,50,9000,Pave,Grvl,Reg,AllPub,2Story,1880,3,1,124000
632,RL,34,4590,Pave,NA,Reg,AllPub,1Story,2006,2,1,209500
633,RL,85,11900,Pave,NA,Reg,AllPub,1Story,1977,3,1,82500
634,RL,80,9250,Pave,NA,Reg,AllPub,1Story,1954,3,1,139400
635,RL,64,6979,Pave,NA,Reg,AllPub,SFoyer,1980,0,2,144000
636,RH,60,10896,Pave,Pave,Reg,AllPub,2.5Fin,1914,8,2,200000
637,RM,51,6120,Pave,NA,Reg,AllPub,1Story,1936,1,1,60000
638,RM,50,6000,Pave,NA,Reg,AllPub,1.5Fin,1954,3,2,93000
639,RL,67,8777,Pave,NA,Reg,AllPub,1Story,1910,2,1,85000
640,RL,53,3982,Pave,NA,Reg,AllPub,1Story,2006,1,1,264561
641,RL,62,12677,Pave,NA,IR1,AllPub,1Story,2003,1,1,274000
642,FV,NA,7050,Pave,NA,Reg,AllPub,2Story,2001,3,1,226000
643,RL,75,13860,Pave,NA,Reg,AllPub,SLvl,1972,4,1,345000
644,RL,80,10793,Pave,NA,Reg,AllPub,2Story,1969,4,1,152000
645,FV,85,9187,Pave,NA,Reg,AllPub,1Story,2009,2,1,370878
646,RL,NA,10530,Pave,NA,IR1,AllPub,1Story,1971,3,1,143250
647,RL,60,7200,Pave,NA,Reg,AllPub,1Story,1950,3,1,98300
648,RL,85,10452,Pave,NA,IR1,AllPub,1Story,1953,3,1,155000
649,RL,70,7700,Pave,NA,Reg,AllPub,2Story,1966,4,1,155000
650,RM,21,1936,Pave,NA,Reg,AllPub,SFoyer,1970,1,1,84500
651,FV,65,8125,Pave,NA,Reg,AllPub,2Story,2007,3,1,205950
652,RL,60,9084,Pave,NA,Reg,AllPub,2Story,1940,4,1,108000
653,RL,70,8750,Pave,NA,Reg,AllPub,2Story,1996,2,1,191000
654,RM,60,10320,Pave,Grvl,Reg,AllPub,1.5Fin,1906,3,1,135000
655,RL,91,10437,Pave,NA,IR1,AllPub,1Story,1995,2,1,350000
656,RM,21,1680,Pave,NA,Reg,AllPub,2Story,1971,3,1,88000
657,RL,72,10007,Pave,NA,IR1,AllPub,1Story,1959,3,1,145500
658,RL,60,7200,Pave,NA,Reg,AllPub,2Story,1931,3,1,149000
659,RL,78,17503,Pave,NA,Reg,AllPub,1.5Fin,1948,3,1,97500
660,RL,75,9937,Pave,NA,Reg,AllPub,1Story,1964,3,1,167000
661,RL,NA,12384,Pave,NA,Reg,AllPub,2Story,1976,3,1,197900
662,RL,52,46589,Pave,NA,IR2,AllPub,2Story,1994,4,1,402000
663,RL,120,13560,Pave,NA,Reg,AllPub,1Story,1968,2,1,110000
664,RL,90,10012,Pave,NA,Reg,AllPub,SFoyer,1972,3,1,137500
665,RL,49,20896,Pave,NA,IR2,AllPub,1Story,2005,1,1,423000
666,RL,106,11194,Pave,NA,IR1,AllPub,2Story,2000,3,1,230500
667,RL,NA,18450,Pave,NA,IR1,AllPub,2Story,1965,3,1,129000
668,RL,65,8125,Pave,NA,Reg,AllPub,1Story,1994,3,1,193500
669,RL,NA,14175,Pave,NA,Reg,AllPub,1Story,1956,3,1,168000
670,RL,80,11600,Pave,NA,Reg,AllPub,1Story,1922,2,1,137500
671,RL,64,8633,Pave,NA,Reg,AllPub,2Story,2005,3,1,173500
672,RH,54,6629,Pave,NA,Reg,AllPub,2Story,1925,3,1,103600
673,RL,NA,11250,Pave,NA,IR1,AllPub,1Story,1977,3,1,165000
674,RL,110,14442,Pave,NA,Reg,AllPub,1Story,1957,3,1,257500
675,RL,80,9200,Pave,NA,Reg,AllPub,1Story,1965,3,1,140000
676,RL,24,2289,Pave,NA,Reg,AllPub,2Story,1978,3,1,148500
677,RM,60,9600,Pave,Grvl,Reg,AllPub,2Story,1900,4,2,87000
678,RL,52,9022,Pave,NA,Reg,AllPub,1Story,1924,2,1,109500
679,RL,80,11844,Pave,NA,IR1,AllPub,1Story,2008,3,1,372500
680,RL,NA,9945,Pave,NA,IR1,AllPub,1Story,1961,3,1,128500
